Name,Code,Type,DrainArea,SubBasin,City,State,Responsib,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,QScore,QLabel,IsStudy
ESPERANTINA,33170000,1,5930.0,33,SANTA LUZIA,MARANHÃO,ANA,-4.0339,-45.7786,1972-05-16,2018-10-31,47,1.7,38,19.1,0.9098,Excelente,0
PINDARÉ-MIRIM,33190000,1,35400.0,33,PINDARÉ-MIRIM,MARANHÃO,ANA,-3.6597,-45.4661,1971-12-25,2018-08-31,48,0.0,46,4.2,0.92,Excelente,0
FAZENDA REMANSO,33205000,1,3730.0,33,GRAJAU,MARANHÃO,ANA,-5.7667,-45.9828,1979-01-25,2019-12-31,41,0.4,39,4.9,0.9276,Excelente,0
PAPAGAIO,33212000,1,93.4,33,FERNANDO FALCÃO,MARANHÃO,ANA,-5.9833,-45.4003,2004-09-29,2018-09-30,15,2.4,10,33.3,0.5931,Moderada,0
SÃO CARLOS,33214000,1,523.0,33,BARRA DO CORDA,MARANHÃO,ANA,-5.8886,-45.3128,2003-10-01,2018-12-31,16,0.6,13,18.8,0.6164,Moderada,0
RIO CORDA II,33215000,1,3000.0,33,BARRA DO CORDA,MARANHÃO,ANA,-5.735,-45.3183,1981-10-21,2019-11-30,39,0.0,36,7.7,0.9175,Excelente,0
RIO CORDA,33220000,1,4560.0,33,BARRA DO CORDA,MARANHÃO,ANA,-5.65,-45.2667,1972-01-01,1979-12-31,8,0.0,8,0.0,0.4,Limitada,0
FAZENDA OURIVES,33222000,1,876.0,33,BARRA DO CORDA,MARANHÃO,ANA,-5.7794,-45.1736,2004-10-27,2018-09-30,15,4.0,10,33.3,0.5835,Moderada,0
BARRA DO CORDA,33250000,1,13200.0,33,BARRA DO CORDA,MARANHÃO,ANA,-5.5006,-45.2436,1964-01-01,2018-11-30,55,2.6,50,9.1,0.9044,Excelente,0
SANTA VITÓRIA,33260000,1,15400.0,33,BARRA DO CORDA,MARANHÃO,ANA,-5.1019,-44.9614,1972-01-01,2018-11-30,47,0.0,46,2.1,0.92,Excelente,0
FLORES,33270000,1,1320.0,33,PRESIDENTE DUTRA,MARANHÃO,ANA,-5.4194,-44.9278,1971-12-10,2018-11-30,48,3.1,38,20.8,0.9014,Excelente,0
JOSELÂNDIA,33273000,1,5900.0,33,JOSELÂNDIA,MARANHÃO,ANA,-4.9253,-44.6181,2000-01-28,2018-11-30,19,0.9,15,21.1,0.6521,Moderada,0
PEDREIRAS,33280000,1,24000.0,33,PEDREIRAS,MARANHÃO,ANA,-4.57,-44.605,1968-07-01,1982-02-21,15,0.6,12,20.0,0.4839,Limitada,0
PEDREIRAS II,33281000,1,24000.0,33,PEDREIRAS,MARANHÃO,ANA,-4.57,-44.6106,1978-02-03,2019-12-31,42,0.0,40,4.8,0.93,Excelente,0
SÃO LUIZ GONZAGA,33286000,1,25200.0,33,SÃO LUÍS GONZAGA DO,MARANHÃO,ANA,-4.37,-44.6758,1989-08-27,2018-11-30,30,0.0,28,6.7,0.795,Excelente,0
BACABAL,33290000,1,25500.0,33,BACABAL,MARANHÃO,ANA,-4.2194,-44.7653,1975-09-11,2019-12-31,45,0.6,42,6.7,0.9264,Excelente,0
GRAJAU,33320000,1,4510.0,33,GRAJAU,MARANHÃO,ANA,-5.8117,-46.1397,1968-06-01,1982-02-09,15,5.3,10,33.3,0.4557,Limitada,0
GRAJAU II,33321000,1,4510.0,33,GRAJAU,MARANHÃO,ANA,-5.8222,-46.1422,1978-07-29,2019-12-31,42,1.7,35,16.7,0.9198,Excelente,0
FORTALEZA,33330000,1,3590.0,33,GRAJAU,MARANHÃO,ANA,-5.5944,-46.2403,1979-10-25,2018-11-30,40,4.2,34,15.0,0.8948,Excelente,0
ITAIPAVA DO GRAJAÚ,33333000,1,11400.0,33,ARAME,MARANHÃO,ANA,-5.1447,-45.7953,2003-10-04,2018-11-30,16,4.1,10,37.5,0.5954,Moderada,0
GADO BRAVO,33340000,1,3790.0,33,GRAJAU,MARANHÃO,ANA,-5.58333,-46.2333,1971-12-12,1979-12-31,9,0.0,8,11.1,0.4125,Limitada,0
MADAIL,33360000,1,12900.0,33,ARAME,MARANHÃO,ANA,-4.9317,-45.5753,1971-12-19,1977-10-31,7,1.4,4,42.9,0.3791,Limitada,0
FAZENDA SABESA,33365000,1,17200.0,33,PAULO RAMOS,MARANHÃO,ANA,-4.5372,-45.3281,1999-12-09,2018-11-30,20,0.0,18,10.0,0.67,Moderada,0
ARATOÍ GRANDE,33380000,1,20300.0,33,BELA VISTA DO MARAN,MARANHÃO,ANA,-3.7722,-45.2181,1970-02-10,2018-11-30,49,4.6,40,18.4,0.8924,Excelente,0
SÃO FELINHO,33410000,1,3660.0,33,SÃO DOMINGOS DO AZE,MARANHÃO,ANA,-6.6992,-44.715,1999-10-05,2019-12-31,21,0.0,20,4.8,0.6925,Moderada,0
MIRADOR,33420000,1,6060.0,33,MIRADOR,MARANHÃO,ANA,-6.3708,-44.3603,1968-06-01,2018-11-30,51,0.2,48,5.9,0.9188,Excelente,0
FERNANDO FALCÃO,33430000,1,4710.0,33,FERNANDO FALCÃO,MARANHÃO,ANA,-6.17,-44.8689,2000-01-29,2018-11-30,19,0.9,16,15.8,0.6521,Moderada,0
CAMPO LARGO,33450000,1,5750.0,33,MIRADOR,MARANHÃO,ANA,-6.0669,-44.7083,1971-12-04,2018-09-30,48,0.4,45,6.2,0.9176,Excelente,0
PORTO DO LOPES,33460000,1,6890.0,33,MIRADOR,MARANHÃO,ANA,-6.0072,-44.34,1970-05-01,2019-12-31,50,0.2,48,4.0,0.9288,Excelente,0
COLINAS,33480000,1,15000.0,33,COLINAS,MARANHÃO,ANA,-6.0208,-44.2486,1968-06-01,2019-12-31,52,0.0,51,1.9,0.93,Excelente,0
NAZARÉ,33490000,1,2290.0,33,COLINAS,MARANHÃO,ANA,-5.9217,-43.7939,1999-11-01,2019-12-31,21,13.1,8,61.9,0.6139,Moderada,0
MENDES,33520000,1,5320.0,33,BURITI BRAVO,MARANHÃO,ANA,-5.7061,-43.5861,1972-03-01,2018-11-30,47,0.8,42,10.6,0.9152,Excelente,0
MONTEVIDÉU,33530000,1,27300.0,33,GOVERNADOR EUGENIO,MARANHÃO,ANA,-5.3372,-43.8844,1975-01-10,2018-11-30,44,0.6,40,9.1,0.9164,Excelente,0
CAXIAS,33550000,1,32700.0,33,CAXIAS,MARANHÃO,ANA,-4.865,-43.3675,1963-04-16,2018-11-30,56,2.0,50,10.7,0.908,Excelente,0
CODÓ,33590000,1,37200.0,33,CODÓ,MARANHÃO,ANA,-4.4583,-43.875,1968-06-01,2019-09-30,52,0.4,48,7.7,0.9276,Excelente,0
FAZENDA SOBRAL,33620000,1,5560.0,33,CODÓ,MARANHÃO,ANA,-4.4653,-43.9333,1972-03-28,2019-12-31,48,3.9,35,27.1,0.9066,Excelente,0
COROATÁ,33630000,1,43800.0,33,COROATA,MARANHÃO,ANA,-4.1258,-44.1297,1975-01-01,2019-12-31,45,0.5,41,8.9,0.927,Excelente,0
SÃO MATEUS,33631000,1,646.0,33,SÃO MATEUS DO MARAN,MARANHÃO,ANA,-4.0103,-44.4417,2004-10-01,2018-12-31,15,13.3,4,73.3,0.5277,Moderada,0
PEDRAS,33638000,1,1010.0,33,PIRAPEMAS,MARANHÃO,ANA,-3.9333,-44.0222,1979-04-14,2018-11-30,40,30.3,11,72.5,0.7382,Moderada,0
PIRAPEMAS,33640000,1,1470.0,33,PIRAPEMAS,MARANHÃO,ANA,-3.75,-44.15,1972-01-01,1981-12-31,10,13.8,7,30.0,0.3422,Limitada,0
PIRITORÓ,33660000,1,3060.0,33,PIRAPEMAS,MARANHÃO,ANA,-3.71667,-44.2833,1972-01-01,1989-01-31,18,8.0,13,27.8,0.477,Limitada,0
PIRITORÓ II,33661000,1,3060.0,33,PIRAPEMAS,MARANHÃO,ANA,-3.7064,-44.2872,1984-11-01,2018-11-30,35,8.3,15,57.1,0.8077,Excelente,0
CANTANHEDE,33680000,1,49900.0,33,CANTANHEDE,MARANHÃO,ANA,-3.6278,-44.3792,1968-06-01,2018-11-30,51,1.8,44,13.7,0.9092,Excelente,0
MORRO ALTO,33700000,1,2040.0,33,BARREIRINHAS,MARANHÃO,ANA,-2.9686,-42.9467,1999-01-01,2019-12-31,21,5.0,16,23.8,0.6625,Moderada,0
FAZENDA CAPUEIRA,33720000,1,733.0,33,AFONSO CUNHA,MARANHÃO,ANA,-4.1669,-43.2239,2002-12-23,2019-12-31,18,9.8,10,44.4,0.5962,Moderada,0
MUNIM,33730000,1,4210.0,33,VARGEM GRANDE,MARANHÃO,ANA,-3.5775,-43.7028,1971-12-12,2019-04-30,49,3.2,42,14.3,0.9108,Excelente,0
BONSUCESSO,33750000,1,1610.0,33,MATA ROMA,MARANHÃO,ANA,-3.5678,-43.3169,1999-11-25,2019-12-31,21,0.3,19,9.5,0.6907,Moderada,0
SÃO BENEDITO,33760000,1,3990.0,33,SÃO BENEDITO DO RIO,MARANHÃO,ANA,-3.3347,-43.525,1975-01-12,2019-10-31,45,0.6,39,13.3,0.9264,Excelente,0
IGUARÁ,33770000,1,2630.0,33,VARGEM GRANDE,MARANHÃO,ANA,-3.5525,-43.8722,1971-12-13,2018-11-30,48,16.5,13,72.9,0.821,Excelente,0
NINA RODRIGUES,33780000,1,12600.0,33,NINA RODRIGUES,MARANHÃO,ANA,-3.5525,-43.8722,1963-08-10,2018-11-30,56,3.1,47,16.1,0.9014,Excelente,0
URBANO SANTOS,33790000,1,669.0,33,URBANO SANTOS,MARANHÃO,ANA,-3.2092,-43.4064,2004-11-03,2018-11-30,15,0.0,13,13.3,0.6075,Moderada,0
FAZENDA UNIÃO,34010000,1,12100.0,34,ALTO PARNAÍBA,MARANHÃO,ANA,-9.29,-45.9019,2012-07-31,2019-07-31,8,12.5,2,75.0,0.455,Limitada,0
ALTO PARNAÍBA,34020000,1,12900.0,34,ALTO PARNAÍBA,MARANHÃO,ANA,-9.1131,-45.9261,1966-01-01,2019-09-30,54,0.0,53,1.9,0.93,Excelente,0
MEDONHO,34030000,1,2680.0,34,ALTO PARNAÍBA,MARANHÃO,ANA,-9.0083,-46.0058,1999-12-02,2019-09-30,21,6.6,15,28.6,0.6529,Moderada,0
FAZENDA PARACATI,34040000,1,25500.0,34,RIBEIRO GONÇALVES,PIAUÍ,ANA,-8.2808,-45.6667,1973-03-01,2004-12-31,32,0.0,31,3.1,0.7,Moderada,0
FAZENDA PARACATI II,34040500,1,25500.0,34,TASSO FRAGOSO,MARANHÃO,ANA,-8.2708,-45.6683,1996-11-28,2019-06-30,24,0.4,21,12.5,0.7276,Moderada,0
RIBEIRO GONÇALVES,34060000,1,31300.0,34,RIBEIRO GONÇALVES,PIAUÍ,ANA,-7.5667,-45.2544,1966-01-01,2019-08-31,54,0.5,52,3.7,0.927,Excelente,0
SÍTIO DO VELHO,34070000,1,35300.0,34,URUÇUÍ,PIAUÍ,ANA,-7.3808,-44.8267,1968-07-02,2019-06-30,52,22.2,37,28.8,0.7968,Excelente,0
FORMOSA DO URUÇUÍ PRETO,34080000,1,4820.0,34,BAIXA GRANDE DO RIB,PIAUÍ,ANA,-8.6722,-44.8853,2012-08-09,2019-06-30,8,4.5,4,50.0,0.503,Moderada,0
FAZENDA BANDEIRA,34090000,1,15600.0,34,URUÇUÍ,PIAUÍ,ANA,-7.3908,-44.6142,1973-02-13,2019-08-31,47,0.3,45,4.3,0.9282,Excelente,0
BALSAS,34130000,1,9040.0,34,BALSAS,MARANHÃO,ANA,-7.5344,-46.0358,1973-01-01,2019-06-30,47,0.0,46,2.1,0.93,Excelente,0
MARAVILHA BR-230,34140000,1,1870.0,34,BALSAS,MARANHÃO,ANA,-7.4742,-46.0219,1999-11-29,2019-09-30,21,8.0,15,28.6,0.6445,Moderada,0
BALSINHAS BR-324,34142000,1,1710.0,34,SAMBAÍBA,MARANHÃO,ANA,-7.5356,-45.8025,2002-12-17,2018-10-31,17,0.1,14,17.6,0.6319,Moderada,0
NEVES BR-230,34145000,1,2140.0,34,SÃO RAIMUNDO DAS MA,MARANHÃO,ANA,-7.0372,-45.5008,1999-12-10,2019-08-31,21,0.7,16,23.8,0.6883,Moderada,0
SAMBAÍBA,34160000,1,22200.0,34,SAMBAÍBA,MARANHÃO,ANA,-7.1489,-45.3489,2004-08-25,2019-07-31,16,0.0,13,18.8,0.63,Moderada,0
SÃO FÉLIX DE BALSAS,34170000,1,24700.0,34,SÃO FÉLIX DE BALSAS,MARANHÃO,ANA,-7.0819,-44.8139,1973-01-01,2019-08-31,47,0.2,46,2.1,0.9288,Excelente,0
CONTRATO,34230000,1,750.0,34,MONTE ALEGRE DO PIA,PIAUÍ,ANA,-9.58,-45.0292,1975-06-13,2019-08-31,45,12.2,34,24.4,0.8568,Excelente,0
REDENÇÃO DO GURGUÉIA,34233000,1,22700.0,34,REDENÇÃO DO GURGUÉI,PIAUÍ,ANA,-9.5397,-44.6014,2012-08-09,2019-06-30,8,5.6,5,37.5,0.4964,Limitada,0
PASSAGEM DAS PEDRAS,34243500,1,7200.0,34,CURIMATÁ,PIAUÍ,ANA,-9.9069,-44.495,2004-08-18,2019-07-31,16,0.6,11,31.2,0.6264,Moderada,0
CRISTINO CASTRO,34250000,1,31000.0,34,CRISTINO CASTRO,PIAUÍ,ANA,-8.8167,-44.2167,1963-06-26,1978-05-31,16,11.6,8,50.0,0.4304,Limitada,0
CRISTINO CASTRO II,34251000,1,31000.0,34,CRISTINO CASTRO,PIAUÍ,ANA,-8.7925,-44.2058,1975-03-25,2019-08-31,45,4.9,27,40.0,0.9006,Excelente,0
PONTE BR-324,34261000,1,40100.0,34,MANOEL EMÍDIO,PIAUÍ,ANA,-8.0975,-43.805,1999-11-27,2019-09-30,21,3.8,17,19.0,0.6697,Moderada,0
BARRA DO LANCE,34270000,1,47000.0,34,JERUMENHA,PIAUÍ,ANA,-7.2475,-43.6433,1973-01-01,2019-08-31,47,0.9,42,10.6,0.9246,Excelente,0
BARÃO DE GRAJAÚ,34311000,1,140000.0,34,BARÃO DE GRAJAÚ,MARANHÃO,ANA,-6.7614,-43.0278,1983-06-01,2019-07-31,37,0.9,32,13.5,0.8871,Excelente,0
PONTE DA ITAUEIRA,34340000,1,9910.0,34,FLORIANO,PIAUÍ,ANA,-6.8139,-42.9667,2004-08-12,2019-08-31,16,3.3,11,31.2,0.6102,Moderada,0
PEDRA REDONDA,34410000,1,4720.0,34,CONCEIÇÃO DO CANIND,PIAUÍ,ANA,-8.00556,-41.4978,1966-10-01,1999-11-18,34,33.8,15,55.9,0.5222,Moderada,0
FAZENDA TAPAGÉ,34420000,1,8810.0,34,SANTO INÁCIO DO PIA,PIAUÍ,ANA,-7.4681,-41.8653,1999-12-20,2019-09-30,21,5.6,14,33.3,0.6589,Moderada,0
MARIA PRETA,34450000,1,7180.0,34,JAICÓS,PIAUÍ,ANA,-7.5464,-41.295,1967-05-27,2019-09-30,53,54.8,7,86.8,0.63,Moderada,0
PICOS,34465000,1,6390.0,34,PICOS,PIAUÍ,ANA,-7.0728,-41.4536,1999-01-01,2019-09-30,21,10.2,15,28.6,0.6313,Moderada,0
SANTA CRUZ DO PIAUÍ,34470000,1,17700.0,34,SANTA CRUZ DO PIAUÍ,PIAUÍ,ANA,-7.18972,-41.7703,1973-01-01,1996-06-30,24,12.6,12,50.0,0.5244,Moderada,0
SANTA CRUZ DO PIAUÍ II,34471000,1,17700.0,34,SANTA CRUZ DO PIAUÍ,PIAUÍ,ANA,-7.1894,-41.7703,1996-08-01,2019-09-30,24,1.1,14,41.7,0.7234,Moderada,0
FAZENDA TALHADA II,34479000,1,28800.0,34,OEIRAS,PIAUÍ,ANA,-6.9861,-42.0883,2015-08-05,2019-09-30,5,20.0,2,60.0,0.3725,Limitada,0
FAZENDA TALHADA,34480000,1,29100.0,34,OEIRAS,PIAUÍ,ANA,-6.9731,-42.1061,1973-01-01,2014-11-18,42,15.3,23,45.2,0.7882,Excelente,0
SÃO RAIMUNDO NONATO,34563000,1,2990.0,34,SÃO RAIMUNDO NONATO,PIAUÍ,ANA,-9.0167,-42.6917,2004-11-01,2014-11-08,11,90.8,0,100.0,0.2175,Limitada,0
SÃO JOÃO DO PIAUÍ,34564000,1,15600.0,34,SÃO JOÃO DO PIAUÍ,PIAUÍ,ANA,-8.355,-42.2453,2002-12-12,2019-09-30,18,0.5,14,22.2,0.652,Moderada,0
SÃO FRANCISCO DO PIAUÍ,34571000,1,34400.0,34,SÃO FRANCISCO DO PI,PIAUÍ,ANA,-7.2342,-42.5439,1981-11-18,2019-09-30,39,4.5,25,35.9,0.8905,Excelente,0
NAZARÉ DO PIAUÍ,34580000,1,36900.0,34,NAZARÉ DO PIAUÍ,PIAUÍ,ANA,-6.98333,-42.6667,1965-02-16,1967-06-30,3,24.6,0,100.0,0.1899,Limitada,0
FRANCISCO AYRES,34600000,1,73700.0,34,FRANCISCO AYRES,PIAUÍ,ANA,-6.6222,-42.6969,1983-03-28,2019-09-30,37,7.6,21,43.2,0.8469,Excelente,0
OITEIRO,34610000,1,73800.0,34,FRANCISCO AYRES,PIAUÍ,ANA,-6.5833,-42.7,1973-01-01,1982-12-31,10,0.8,9,10.0,0.4202,Limitada,0
PASSAGEM FRANCA II,34620000,1,2950.0,34,PASSAGEM FRANCA DO,PIAUÍ,ANA,-5.8581,-42.4436,1999-10-19,2019-09-30,21,0.0,18,14.3,0.6925,Moderada,0
FAZENDA VENEZA,34660000,1,235000.0,34,PALMEIRAIS,PIAUÍ,ANA,-5.5719,-43.0242,1973-01-01,2019-08-31,47,0.2,45,4.3,0.9288,Excelente,0
TERESINA - CHESF,34690000,1,237000.0,34,TERESINA,PIAUÍ,ANA,-5.135,-42.8111,1981-03-01,2019-06-30,39,0.7,37,5.1,0.9133,Excelente,0
CROATÁ,34730000,1,1030.0,34,CROATÁ,CEARÁ,ANA,-4.4156,-40.9108,1962-02-17,2019-12-31,58,17.1,34,41.4,0.8274,Excelente,0
SAUDOSO,34740000,1,528.0,34,PORANGA,CEARÁ,ANA,-4.6197,-41.125,1996-11-21,2019-12-31,24,0.5,19,20.8,0.727,Moderada,0
OITICICA,34741000,1,10700.0,34,CRATEÚS,CEARÁ,ANA,-5.0297,-41.0831,2004-09-23,2014-09-30,11,5.3,4,63.6,0.4857,Limitada,0
BEBEDOURO,34742000,1,11400.0,34,BURITI DOS MONTES,PIAUÍ,ANA,-5.0586,-41.1567,2014-06-01,2019-12-31,6,1.8,4,33.3,0.4942,Limitada,0
FAZENDA BOA ESPERANÇA,34750000,1,19200.0,34,CASTELO DO PIAUÍ,PIAUÍ,ANA,-5.2231,-41.7375,1964-02-05,2019-08-31,56,0.9,49,12.5,0.9246,Excelente,0
SANTA CRUZ DOS MILAGRES,34751000,1,5100.0,34,SANTA CRUZ DOS MILA,PIAUÍ,ANA,-5.8003,-41.9594,2004-11-27,2019-09-30,16,0.5,13,18.8,0.627,Moderada,0
FAZENDA CARNAÍBA,34760000,1,16300.0,34,SÃO MIGUEL DO TAPUI,PIAUÍ,ANA,-5.7139,-42.1,1999-11-14,2019-09-30,21,2.3,17,19.0,0.6787,Moderada,0
PRATA DO PIAUÍ,34770000,1,43400.0,34,PRATA DO PIAUÍ,PIAUÍ,ANA,-5.6664,-42.2136,1973-01-01,2019-08-31,47,0.3,46,2.1,0.9282,Excelente,0
FAZENDA CANTINHO II,34789000,1,51400.0,34,TERESINA,PIAUÍ,ANA,-5.2025,-42.6967,1988-08-11,2019-09-30,32,0.1,27,15.6,0.8294,Excelente,0
FAZENDA CANTINHO,34790000,1,51400.0,34,TERESINA,PIAUÍ,ANA,-5.2,-42.7167,1963-07-28,1991-01-31,29,0.3,25,13.8,0.6607,Moderada,0
COELHO NETO,34820000,1,294000.0,34,COELHO NETO,MARANHÃO,ANA,-4.2881,-42.9856,1999-10-24,2019-09-30,21,3.9,17,19.0,0.6691,Moderada,0
LUZILÂNDIA,34879500,1,298000.0,34,LUZILÂNDIA,PIAUÍ,ANA,-3.4539,-42.37,1982-01-01,2019-08-31,38,0.4,37,2.6,0.9026,Excelente,0
PORTO FORMOSO,34880000,1,298000.0,34,SÃO BERNARDO,MARANHÃO,ANA,-3.4528,-42.3667,1963-08-01,1981-12-31,19,5.5,15,21.1,0.5045,Moderada,0
FAZENDA ALEGRIA,34930000,1,4910.0,34,BARRAS,PIAUÍ,ANA,-4.4097,-42.1814,1964-01-25,2019-06-30,56,25.1,29,48.2,0.7794,Excelente,0
PEDRA BRANCA,34933000,1,1760.0,34,BARRAS,PIAUÍ,ANA,-4.3931,-42.4072,2012-07-03,2019-09-30,8,11.8,4,50.0,0.4592,Limitada,0
PEDRINHAS,34936000,1,2900.0,34,BARRAS,PIAUÍ,ANA,-4.2378,-42.3053,2012-07-01,2019-09-30,8,13.1,2,75.0,0.4514,Limitada,0
ESPERANTINA,34940000,1,11200.0,34,ESPERANTINA,PIAUÍ,ANA,-3.9028,-42.2297,1973-01-01,2019-08-31,47,0.8,43,8.5,0.9252,Excelente,0
CONGOS,34948000,1,1450.0,34,BATALHA,PIAUÍ,ANA,-4.0283,-41.9122,2000-02-19,2019-09-30,20,15.2,2,90.0,0.5888,Moderada,0
PIRACURUCA,34976000,1,5190.0,34,PIRACURUCA,PIAUÍ,ANA,-3.9372,-41.7169,2000-02-17,2019-09-30,20,4.3,16,20.0,0.6542,Moderada,0
SANGRADOURO,34979000,1,1020.0,34,SÃO JOÃO DA FRONTEI,PIAUÍ,ANA,-4.0394,-41.2675,2014-12-17,2019-12-31,6,0.5,4,33.3,0.502,Moderada,0
TINGUIS,34980000,1,21800.0,34,SÃO JOSÉ DO DIVINO,PIAUÍ,ANA,-3.7239,-41.9742,1973-01-01,2019-09-30,47,0.4,43,8.5,0.9276,Excelente,0
SÃO BERNARDO,34988000,1,2030.0,34,SÃO BERNARDO,MARANHÃO,ANA,-3.36,-42.4197,1999-11-05,2018-12-31,20,0.0,19,5.0,0.67,Moderada,0
CHAVAL RETIRO,35050000,1,1000.0,35,CHAVAL,CEARÁ,ANA,-3.0786,-41.255,2000-02-24,2019-12-31,20,5.4,14,30.0,0.6476,Moderada,0
MORAÚJO,35125000,1,1500.0,35,MORAÚJO,CEARÁ,ANA,-3.4647,-40.6853,1979-03-01,2019-12-31,41,28.9,12,70.7,0.7566,Excelente,0
TAPERA,35156000,1,1000.0,35,URUOCA,CEARÁ,ANA,-3.3281,-40.8486,2004-10-23,2019-12-31,16,0.1,14,12.5,0.6294,Moderada,0
GRANJA,35170000,1,3960.0,35,GRANJA,CEARÁ,ANA,-3.1217,-40.8217,1971-01-01,2019-12-31,49,15.5,24,51.0,0.837,Excelente,0
PESQUEIRO,35205000,1,1460.0,35,CAMOCIM,CEARÁ,ANA,-3.0028,-40.5725,2000-02-21,2019-12-31,20,0.0,17,15.0,0.68,Moderada,0
FAZENDA  CAJAZEIRAS,35210000,1,1560.0,35,HIDROLÂNDIA,CEARÁ,ANA,-4.3775,-40.5492,1962-05-01,2019-12-31,58,48.8,14,75.9,0.6372,Moderada,0
FLORES,35223000,1,693.0,35,IPÚ,CEARÁ,ANA,-4.345,-40.5622,1999-10-28,2019-12-31,21,0.0,20,4.8,0.6925,Moderada,0
VÁRZEA DO GROSSO,35235000,1,3640.0,35,SANTA QUITÉRIA,CEARÁ,ANA,-4.1442,-40.43,1973-01-01,2019-12-31,47,2.2,43,8.5,0.9168,Excelente,0
TRAPIÁ,35240000,1,1530.0,35,SANTA QUITÉRIA,CEARÁ,ANA,-4.195,-40.3178,1973-01-15,2019-12-31,47,13.8,32,31.9,0.8472,Excelente,0
CURRAL VELHO,35251000,1,634.0,35,GROAIRAS,CEARÁ,ANA,-3.9975,-40.3703,2005-03-01,2018-11-30,14,18.8,7,50.0,0.4822,Limitada,0
SIARÃO,35255000,1,6880.0,35,GROAIRAS,CEARÁ,ANA,-3.9039,-40.4053,2013-03-16,2019-12-31,7,6.0,5,28.6,0.4815,Limitada,0
POÇO COMPRIDO,35257000,1,1270.0,35,SANTA QUITÉRIA,CEARÁ,ANA,-4.3667,-40.0186,2015-01-01,2019-12-31,5,0.0,5,0.0,0.4925,Limitada,0
FAZENDA PARANÁ,35258000,1,2370.0,35,SANTA QUITÉRIA,CEARÁ,ANA,-4.0969,-40.1264,1969-03-22,2019-12-31,51,37.8,27,47.1,0.7032,Moderada,0
GROAIRAS,35260000,1,2800.0,35,GROAIRAS,CEARÁ,ANA,-3.9092,-40.3797,1973-02-13,2019-12-31,47,2.1,39,17.0,0.9174,Excelente,0
ARARIUS,35263000,1,578.0,35,CARIRE,CEARÁ,ANA,-3.8919,-40.6025,1968-12-01,2019-12-31,52,29.0,33,36.5,0.756,Excelente,0
FAZENDA TIMBURANA,35270000,1,1230.0,35,SOBRAL,CEARÁ,ANA,-3.76667,-40.45,1968-02-22,1975-12-31,8,0.0,7,12.5,0.4,Limitada,0
SOBRAL,35275000,1,11300.0,35,SOBRAL,CEARÁ,ANA,-3.6883,-40.3389,1973-01-01,2019-12-31,47,7.9,34,27.7,0.8826,Excelente,0
FAZENDA BELA VISTA,35279000,1,46.0,35,FORQUILHA,CEARÁ,ANA,-3.82472,-40.1875,1984-02-01,2004-09-15,21,0.5,19,9.5,0.5595,Moderada,0
SANTANA DO ACARAÚ,35283000,1,13000.0,35,SANTANA DO ACARAÚ,CEARÁ,ANA,-3.4553,-40.2128,2006-07-12,2019-12-31,14,0.2,12,14.3,0.6038,Moderada,0
VILA NOVA,35301000,1,1280.0,35,ITAREMA,CEARÁ,ANA,-3.0247,-39.8706,2004-08-26,2019-12-31,16,0.4,14,12.5,0.6276,Moderada,0
FAZENDA POÇO VERDE,35350000,1,1390.0,35,SOBRAL,CEARÁ,ANA,-3.7481,-40.0358,2000-01-01,2019-12-31,20,1.2,19,5.0,0.6728,Moderada,0
AMONTADA,35370000,1,2680.0,35,AMONTADA,CEARÁ,ANA,-3.3642,-39.8339,1973-02-11,2019-12-31,47,59.1,3,93.6,0.63,Moderada,0
BETÂNIA,35370600,1,951.0,35,ITAPIPOCA,CEARÁ,ANA,-3.2844,-39.6528,2004-08-28,2019-12-31,16,9.2,9,43.8,0.5748,Moderada,0
BARRENTO,35390000,1,564.0,35,ITAPIPOCA,CEARÁ,ANA,-3.3042,-39.51,2004-09-01,2019-12-31,16,7.9,10,37.5,0.5826,Moderada,0
PARAMOTI,35551000,1,1540.0,35,PARAMOTI,CEARÁ,ANA,-4.1008,-39.2339,2006-04-01,2019-12-31,14,34.6,2,85.7,0.3974,Limitada,0
SÃO LUÍS DO CURU,35570000,1,7330.0,35,SÃO LUÍS DO CURU,CEARÁ,ANA,-3.4075,-39.0847,1973-01-01,2019-12-31,47,1.4,40,14.9,0.9216,Excelente,0
MELANCIA,35571000,1,7650.0,35,SÃO GONÇALO DO AMAR,CEARÁ,ANA,-3.6144,-39.2228,2005-06-01,2015-10-14,11,9.7,6,45.5,0.4693,Limitada,0
SÂO VICENTE (PONTE BR-020),35640000,1,178.0,35,MARANGUAPE,CEARÁ,ANA,-3.9983,-38.9417,2005-03-30,2019-12-31,15,39.8,5,66.7,0.3787,Limitada,0
SÍTIOS NOVOS,35650000,1,469.0,35,SÃO GONÇALO DO AMAR,CEARÁ,ANA,-3.74972,-38.955,1973-02-11,1998-12-31,26,26.7,11,57.7,0.4648,Limitada,0
UMARITUBA NOVA,35668000,1,504.0,35,SÃO GONÇALO DO AMAR,CEARÁ,ANA,-3.6706,-38.9825,1984-03-01,2019-12-31,36,19.0,20,44.4,0.766,Excelente,0
CAMPO GRANDE,35669100,1,425.0,35,CAUCAIA,CEARÁ,ANA,-3.7619,-38.6844,2004-10-17,2019-12-31,16,1.4,11,31.2,0.6216,Moderada,0
